Area,Date,date,Claims
Bartow County,04/04/2020,Apr 04,4222
Bartow County,04/11/2020,Apr 11,3521
Bartow County,04/18/2020,Apr 18,3995
Bartow County,04/25/2020,Apr 25,3277
Bartow County,05/02/2020,May 02,2562
Bartow County,05/09/2020,May 09,2991
Bartow County,05/16/2020,May 16,1685
Bartow County,05/23/2020,May 23,1515
Bartow County,05/30/2020,May 30,1696
Bartow County,06/06/2020,Jun 06,1330
Bartow County,06/13/2020,Jun 13,1186
Bartow County,06/20/2020,Jun 20,1143
Bartow County,06/27/2020,Jun 27,1110
Bartow County,07/04/2020,Jul 04,954
Bartow County,07/11/2020,Jul 11,1330
Bartow County,07/18/2020,Jul 18,1318
Bartow County,07/25/2020,Jul 25,982
Bartow County,08/01/2020,Aug 01,1011
Bartow County,08/08/2020,Aug 08,561
Bartow County,08/15/2020,Aug 15,477
Bartow County,08/22/2020,Aug 22,523
Bartow County,08/29/2020,Aug 29,466
Bartow County,09/05/2020,Sep 05,504
Bartow County,09/12/2020,Sep 12,434
Bartow County,09/19/2020,Sep 19,417
Bartow County,09/26/2020,Sep 26,421
Bartow County,10/03/2020,Oct 03,425
Bartow County,10/10/2020,Oct 10,901
Bartow County,10/17/2020,Oct 17,441
Bartow County,10/24/2020,Oct 24,453
Bartow County,10/31/2020,Oct 31,487
Bartow County,11/07/2020,Nov 07,338
Bartow County,11/14/2020,Nov 14,202
Bartow County,11/21/2020,Nov 21,304
Bartow County,11/28/2020,Nov 28,240
Bartow County,12/05/2020,Dec 05,1176
Bartow County,12/12/2020,Dec 12,244
Ben Hill County,03/07/2020,Mar 07,10
Ben Hill County,03/14/2020,Mar 14,8
Ben Hill County,03/21/2020,Mar 21,44
Ben Hill County,03/28/2020,Mar 28,129
Ben Hill County,04/04/2020,Apr 04,435
Ben Hill County,04/11/2020,Apr 11,1008
Ben Hill County,04/18/2020,Apr 18,997
Ben Hill County,04/25/2020,Apr 25,1015
Ben Hill County,05/02/2020,May 02,489
Ben Hill County,05/09/2020,May 09,559
Ben Hill County,05/16/2020,May 16,410
Ben Hill County,05/23/2020,May 23,520
Ben Hill County,05/30/2020,May 30,524
Ben Hill County,06/06/2020,Jun 06,530
Ben Hill County,06/13/2020,Jun 13,292
Ben Hill County,06/20/2020,Jun 20,366
Ben Hill County,06/27/2020,Jun 27,320
Ben Hill County,07/04/2020,Jul 04,274
Ben Hill County,07/11/2020,Jul 11,462
Ben Hill County,07/18/2020,Jul 18,317
Ben Hill County,07/25/2020,Jul 25,180
Ben Hill County,08/01/2020,Aug 01,130
Ben Hill County,08/08/2020,Aug 08,145
Ben Hill County,08/15/2020,Aug 15,101
Ben Hill County,08/22/2020,Aug 22,100
Ben Hill County,08/29/2020,Aug 29,120
Ben Hill County,09/05/2020,Sep 05,101
Ben Hill County,09/12/2020,Sep 12,74
Ben Hill County,09/19/2020,Sep 19,126
Ben Hill County,09/26/2020,Sep 26,76
Ben Hill County,10/03/2020,Oct 03,85
Ben Hill County,10/10/2020,Oct 10,136
Ben Hill County,10/17/2020,Oct 17,108
Ben Hill County,10/24/2020,Oct 24,105
Ben Hill County,10/31/2020,Oct 31,97
Ben Hill County,11/07/2020,Nov 07,45
Ben Hill County,11/14/2020,Nov 14,46
Ben Hill County,11/21/2020,Nov 21,58
Ben Hill County,11/28/2020,Nov 28,41
Ben Hill County,12/05/2020,Dec 05,122
Ben Hill County,12/12/2020,Dec 12,50
Berrien County,03/07/2020,Mar 07,25
Berrien County,03/14/2020,Mar 14,13
Berrien County,03/21/2020,Mar 21,17
Berrien County,03/28/2020,Mar 28,102
Berrien County,04/04/2020,Apr 04,414
Berrien County,04/11/2020,Apr 11,761
Berrien County,04/18/2020,Apr 18,325
Berrien County,04/25/2020,Apr 25,332
Berrien County,05/02/2020,May 02,256
Berrien County,05/09/2020,May 09,358
